time,x-axis,y-axis,z-axis
4.197768,-1.8696,-8.2899,2.8185
4.21497,0.2688,-12.2689,-0.4282
4.231699,-1.0999,-16.5616,2.1073
4.251215,-1.1574,-19.0157,0.9943
4.266233,1.9731,-16.3181,0.5535
4.283544,-0.8356,-6.4129,-2.8632
4.301002,-2.4276,-11.7032,7.112
4.316908,-1.327,-17.3098,5.6013
4.334008,0.6887,-19.9072,0.3356
4.351199,1.5103,-12.0846,0.0429
4.36811,-0.5059,-2.4587,-1.5329
4.385277,-0.4554,3.6099,-5.3828
4.402435,0.3899,8.5327,-8.832
4.419063,1.0203,10.2239,-11.6536
4.436092,2.1131,12.8969,-8.6845
4.453617,0.2525,17.4884,-3.754
4.470341,4.4198,9.3297,-1.1136
4.487238,2.4737,6.2551,1.5471
4.504564,0.1863,7.2724,-0.9302
4.521635,-1.2684,3.5369,1.3236
4.538299,-2.6961,7.91,5.695
4.555651,-2.4729,8.4053,7.6915
4.57301,-1.0221,8.7655,8.8676
4.589653,-0.5478,10.3394,8.055
4.606688,-0.0742,9.0895,6.7506
4.623767,-1.1272,8.9088,4.8829
4.640661,-0.7546,8.677,3.6354
4.658134,-0.7666,7.7405,3.2343
4.674875,-0.7227,7.7482,2.4617
4.691617,-0.613,7.5304,1.3551
4.709652,-0.023,9.4366,-1.9521
4.725977,-1.9537,7.7437,-14.5147
4.743084,-3.132,3.5622,-5.0044
4.759779,0.634,-8.3264,-9.1158
4.776997,6.7232,-54.164,-66.7795
4.794252,12.2041,-44.169,24.8366
4.810986,14.525,-22.5833,16.6138
4.827925,7.9299,-4.1894,28.2691
4.845664,3.6926,5.3222,8.5712
4.862129,-2.5179,7.5563,-7.9658
4.879195,-6.2549,-1.2419,-5.7502
4.896663,-8.9739,-11.3803,-15.107
4.913468,-0.8543,-9.8894,13.5813
4.930405,-0.7623,-5.2446,10.0705
4.947385,2.0588,-2.5416,-0.3517
4.967601,3.2296,0.807,-2.9661
4.981265,3.1696,2.8783,-0.3527
4.998174,2.2128,3.5676,0.9161
5.01574,0.3145,3.3296,-0.1019
5.032667,-1.1079,2.995,-1.629
5.049642,-1.9571,3.5797,-2.055
5.066705,-2.2997,4.1661,-1.5694
5.083542,-2.2813,3.5486,-0.9893
5.100503,-2.0841,2.241,-0.4482
5.117605,-1.913,0.3424,-0.2201
